date,store_id,competitors_within_1mi,competitors_within_3mi,nearest_competitor_distance_mi,new_competitor_opened,competitor_closure,competitor_running_promotion,market_saturation_score,est_competitor_avg_price
2022-02-25,STR001,8,17,1.43,0,0,0,40.3,18.68
2022-02-26,STR001,6,21,0.8,0,0,0,42.0,15.79
2022-02-27,STR001,7,27,0.75,0,0,0,39.1,15.38
2022-02-28,STR001,3,16,0.37,0,0,0,17.9,18.24
2022-03-01,STR001,3,22,0.32,0,0,1,18.9,19.85
2022-03-02,STR001,7,13,0.94,0,0,0,45.4,17.55
2022-03-03,STR001,7,27,0.17,0,0,0,44.6,14.86
2022-03-04,STR001,3,22,0.66,0,0,0,17.0,12.89
2022-03-05,STR001,2,14,0.59,0,0,0,9.6,17.92
2022-03-06,STR001,5,11,0.21,0,0,1,35.3,22.07
2022-03-07,STR001,7,23,0.78,0,0,1,39.7,17.65
2022-03-08,STR001,6,24,0.54,0,0,0,42.1,19.37
2022-03-09,STR001,8,14,0.25,0,0,0,55.8,16.66
2022-03-10,STR001,5,12,0.76,0,0,1,39.2,18.95
2022-03-11,STR001,3,20,1.09,0,0,0,16.7,20.01
2022-03-12,STR001,9,15,1.36,0,0,0,53.4,15.37
2022-03-13,STR001,2,12,1.49,0,0,0,12.9,12.37
2022-03-14,STR001,8,14,1.04,0,0,0,52.5,19.37
2022-03-15,STR001,7,23,1.33,0,0,0,33.1,11.1
2022-03-16,STR001,6,17,1.45,0,0,0,35.2,17.46
2022-03-17,STR001,1,9,0.95,0,0,0,4.9,16.45
2022-03-18,STR001,7,23,0.71,0,0,0,43.4,22.79
2022-03-19,STR001,9,29,0.23,0,0,0,51.1,17.67
2022-03-20,STR001,10,18,0.46,0,0,0,52.5,17.76
2022-03-21,STR001,6,17,0.29,0,0,0,28.8,21.37
2022-03-22,STR001,7,14,1.17,0,0,0,41.0,14.08
2022-03-23,STR001,7,17,1.35,0,0,0,38.8,17.97
2022-03-24,STR001,2,10,0.84,0,0,0,12.4,17.99
2022-03-25,STR001,9,24,0.64,0,0,0,50.7,13.68
2022-03-26,STR001,7,21,0.17,0,0,0,33.9,16.01
2022-03-27,STR001,10,29,0.87,0,0,0,61.3,22.18
2022-03-28,STR001,7,18,0.98,0,0,0,44.0,19.73
2022-03-29,STR001,6,24,0.59,0,0,0,44.0,17.33
2022-03-30,STR001,6,26,1.31,0,0,0,36.3,18.49
2022-03-31,STR001,2,16,1.34,0,0,0,11.2,18.68
2022-04-01,STR001,9,18,0.97,0,0,0,49.3,6.02
2022-04-02,STR001,3,21,0.4,0,0,0,25.3,13.12
2022-04-03,STR001,8,26,0.73,0,0,0,48.1,19.6
2022-04-04,STR001,3,16,1.43,0,0,0,11.7,19.02
2022-04-05,STR001,7,21,1.0,0,0,0,35.8,20.53
2022-04-06,STR001,3,19,1.5,0,0,0,21.6,14.73
2022-04-07,STR001,5,20,1.32,0,0,0,25.9,21.94
2022-04-08,STR001,6,18,0.63,0,0,1,32.6,17.73
2022-04-09,STR001,8,20,1.14,0,0,0,47.1,11.07
2022-04-10,STR001,6,16,0.45,0,0,0,33.1,14.34
2022-04-11,STR001,6,20,0.33,0,0,1,34.2,17.91
2022-04-12,STR001,3,10,0.38,0,0,0,22.5,14.03
2022-04-13,STR001,4,9,0.76,0,0,0,23.5,17.31
2022-04-14,STR001,5,18,0.58,0,0,0,19.0,14.42
2022-04-15,STR001,4,24,0.2,0,0,0,25.8,15.05
2022-04-16,STR001,4,19,0.88,0,0,0,28.6,13.99
2022-04-17,STR001,4,17,1.0,0,0,0,23.2,16.86
2022-04-18,STR001,8,20,0.52,0,0,1,46.9,14.79
2022-04-19,STR001,8,21,0.38,0,0,0,41.2,17.16
2022-04-20,STR001,5,17,0.13,0,0,0,23.9,12.27
2022-04-21,STR001,6,26,0.32,0,0,0,34.4,20.36
2022-04-22,STR001,5,24,0.78,0,0,0,24.3,20.23
2022-04-23,STR001,8,26,0.82,0,0,0,50.1,13.49
2022-04-24,STR001,5,24,0.16,0,0,0,22.9,18.73
2022-04-25,STR001,11,19,0.23,0,0,0,56.7,15.13
2022-04-26,STR001,6,15,0.66,0,0,0,46.7,18.14
2022-04-27,STR001,2,20,1.37,0,0,0,10.1,15.06
2022-04-28,STR001,8,18,0.53,0,0,0,46.9,14.27
2022-04-29,STR001,3,15,0.72,0,0,0,19.1,24.19
2022-04-30,STR001,5,10,0.32,0,0,0,16.3,14.97
2022-05-01,STR001,12,20,1.32,0,0,0,66.2,14.48
2022-05-02,STR001,7,23,1.16,0,0,1,45.5,19.57
2022-05-03,STR001,9,22,0.12,0,0,0,56.1,9.84
2022-05-04,STR001,2,8,0.19,0,0,0,18.1,14.72
2022-05-05,STR001,3,8,0.95,0,0,0,24.3,16.13
2022-05-06,STR001,8,14,1.15,0,0,0,49.2,17.98
2022-05-07,STR001,2,18,0.13,0,0,0,19.0,19.86
2022-05-08,STR001,5,25,0.93,0,0,0,30.7,16.75
2022-05-09,STR001,6,18,1.4,0,0,1,43.9,20.16
2022-05-10,STR001,1,10,1.05,0,0,0,9.1,20.81
2022-05-11,STR001,4,10,1.39,0,0,0,27.7,19.5
2022-05-12,STR001,6,22,0.73,0,0,0,33.8,12.34
2022-05-13,STR001,5,20,0.25,0,0,0,33.3,8.88
2022-05-14,STR001,6,11,0.13,0,0,0,43.0,15.93
2022-05-15,STR001,3,19,0.82,0,0,0,21.1,22.36
2022-05-16,STR001,3,20,0.62,0,0,0,19.5,15.8
2022-05-17,STR001,8,20,1.07,0,0,1,47.2,15.59
2022-05-18,STR001,5,12,0.21,0,0,0,36.9,19.09
2022-05-19,STR001,4,21,1.19,0,0,0,19.7,15.56
2022-05-20,STR001,6,22,0.44,0,0,0,33.0,16.24
2022-05-21,STR001,10,24,1.44,0,0,0,59.4,16.29
2022-05-22,STR001,5,18,0.78,0,0,1,39.0,16.51
2022-05-23,STR001,11,17,0.44,0,0,0,57.9,15.58
2022-05-24,STR001,7,18,1.16,0,0,0,43.0,19.77
2022-05-25,STR001,7,20,0.98,0,0,1,47.7,13.69
2022-05-26,STR001,3,11,0.15,0,0,0,19.6,15.22
2022-05-27,STR001,6,18,0.23,0,0,0,38.8,16.86
2022-05-28,STR001,8,28,1.27,0,0,0,44.8,14.97
2022-05-29,STR001,5,20,1.41,0,0,0,29.8,17.18
2022-05-30,STR001,6,16,1.32,0,0,0,36.4,14.65
2022-05-31,STR001,8,20,0.5,0,0,0,44.6,21.65
2022-06-01,STR001,6,11,0.2,0,0,0,36.7,17.73
2022-06-02,STR001,14,31,0.36,0,0,0,84.2,21.31
2022-06-03,STR001,6,12,0.99,0,0,0,33.6,16.32
2022-06-04,STR001,5,19,0.19,0,0,0,36.1,16.81
2022-06-05,STR001,9,27,0.57,0,0,0,49.9,10.59
2022-06-06,STR001,5,17,0.22,0,0,0,28.6,20.19
2022-06-07,STR001,5,24,0.4,0,0,0,29.2,13.37
2022-06-08,STR001,3,14,1.21,0,0,0,19.9,21.76
2022-06-09,STR001,5,18,1.3,0,0,0,34.0,12.06
2022-06-10,STR001,5,22,1.37,0,0,0,29.6,13.2
2022-06-11,STR001,3,12,1.11,0,0,1,20.7,16.1
2022-06-12,STR001,7,22,0.21,0,0,0,40.1,18.73
2022-06-13,STR001,3,12,0.86,0,0,0,16.8,21.47
2022-06-14,STR001,6,21,1.15,0,0,0,34.3,18.09
2022-06-15,STR001,6,26,0.59,0,0,0,35.9,17.22
2022-06-16,STR001,4,13,1.34,0,0,0,28.1,13.02
2022-06-17,STR001,8,24,0.18,0,0,0,48.1,17.08
2022-06-18,STR001,3,14,0.58,0,0,0,25.4,16.55
2022-06-19,STR001,10,21,1.21,0,0,0,57.9,15.86
2022-06-20,STR001,4,12,0.4,0,0,0,23.1,19.24
2022-06-21,STR001,5,24,0.96,0,0,1,29.5,15.11
2022-06-22,STR001,4,20,0.41,0,0,0,27.9,20.22
2022-06-23,STR001,9,25,0.36,0,0,0,54.5,18.26
2022-06-24,STR001,11,27,0.79,0,0,0,60.3,19.39
2022-06-25,STR001,8,21,0.81,0,0,0,45.6,14.23
2022-06-26,STR001,10,20,1.33,0,0,0,64.5,15.65
2022-06-27,STR001,4,21,0.4,0,0,0,32.9,17.41
2022-06-28,STR001,6,16,0.22,0,0,0,39.3,18.15
2022-06-29,STR001,9,15,0.71,0,0,1,55.2,21.05
2022-06-30,STR001,7,19,0.45,0,0,0,36.4,16.86
2022-07-01,STR001,3,19,1.09,0,0,0,15.6,10.66
2022-07-02,STR001,8,25,0.16,0,0,0,51.7,19.2
2022-07-03,STR001,7,13,0.86,0,0,0,43.9,19.07
2022-07-04,STR001,6,17,1.15,0,0,0,41.7,15.96
2022-07-05,STR001,4,21,1.32,0,0,0,17.9,17.22
2022-07-06,STR001,3,19,0.78,0,0,0,6.5,20.99
2022-07-07,STR001,5,17,0.98,0,0,0,40.7,20.72
2022-07-08,STR001,4,18,0.85,0,0,0,25.5,18.35
2022-07-09,STR001,2,21,0.59,0,0,0,8.4,21.23
2022-07-10,STR001,7,14,1.17,0,0,0,53.0,22.13
2022-07-11,STR001,6,18,0.67,0,0,1,40.9,15.21
2022-07-12,STR001,8,22,1.22,0,1,0,47.8,19.29
2022-07-13,STR001,4,23,0.49,0,0,0,26.4,14.65
2022-07-14,STR001,10,23,0.76,0,0,0,67.6,18.0
2022-07-15,STR001,6,11,1.09,0,0,0,32.6,18.11
2022-07-16,STR001,6,17,0.84,0,0,0,40.5,22.91
2022-07-17,STR001,7,24,0.14,0,0,0,42.3,14.85
2022-07-18,STR001,6,14,1.16,0,0,0,26.9,18.15
2022-07-19,STR001,8,22,1.11,0,0,0,50.7,13.44
2022-07-20,STR001,11,21,0.29,0,0,0,77.6,11.59
2022-07-21,STR001,8,24,0.55,0,0,0,51.6,18.67
2022-07-22,STR001,3,18,0.12,0,0,0,16.2,13.5
2022-07-23,STR001,4,15,0.62,0,1,0,16.1,17.88
2022-07-24,STR001,11,25,1.17,0,0,0,67.1,18.9
2022-07-25,STR001,12,28,1.34,0,0,0,76.0,18.85
2022-07-26,STR001,2,20,0.66,0,0,0,13.4,16.84
2022-07-27,STR001,7,16,0.96,0,0,0,36.8,23.99
2022-07-28,STR001,4,11,1.46,0,0,1,26.6,14.93
2022-07-29,STR001,4,9,1.36,0,0,0,21.5,15.1
2022-07-30,STR001,7,27,0.87,0,0,0,44.7,14.52
2022-07-31,STR001,8,15,1.43,0,0,0,50.8,11.23
2022-08-01,STR001,8,21,0.68,0,0,0,52.0,19.92
2022-08-02,STR001,2,10,1.12,0,0,0,13.1,11.27
2022-08-03,STR001,8,18,1.17,0,0,0,45.7,18.07
2022-08-04,STR001,10,16,0.6,0,0,0,65.5,20.65
2022-08-05,STR001,7,27,1.15,0,0,0,43.2,14.58
2022-08-06,STR001,6,22,1.18,0,0,0,40.0,17.7
2022-08-07,STR001,6,24,0.19,0,0,0,34.4,16.64
2022-08-08,STR001,4,12,1.14,0,0,0,20.7,20.18
2022-08-09,STR001,7,15,0.52,0,0,0,45.6,11.03
2022-08-10,STR001,4,18,0.48,0,0,0,29.1,14.02
2022-08-11,STR001,5,16,0.7,0,0,0,29.2,19.48
2022-08-12,STR001,9,23,1.14,0,0,0,54.4,17.96
2022-08-13,STR001,10,22,0.98,0,0,0,63.3,18.6
2022-08-14,STR001,8,14,1.42,0,0,0,50.3,12.96
2022-08-15,STR001,5,24,1.26,0,0,0,21.9,17.82
2022-08-16,STR001,5,23,1.4,0,0,0,25.7,13.77
2022-08-17,STR001,3,16,0.51,0,0,1,20.5,13.35
2022-08-18,STR001,8,22,1.07,0,0,0,47.4,21.61
2022-08-19,STR001,8,13,0.66,0,0,0,49.3,20.31
2022-08-20,STR001,7,14,0.9,0,0,0,37.0,25.34
2022-08-21,STR001,6,12,0.88,0,0,0,21.0,15.1
2022-08-22,STR001,6,18,1.34,0,0,0,26.9,18.6
2022-08-23,STR001,9,17,1.43,0,0,0,64.4,21.57
2022-08-24,STR001,3,21,0.7,0,0,0,14.4,18.2
2022-08-25,STR001,6,18,1.38,0,0,0,36.0,13.95
2022-08-26,STR001,6,21,1.26,0,0,0,30.0,14.27
2022-08-27,STR001,4,24,0.67,0,0,0,25.6,19.15
2022-08-28,STR001,6,21,1.24,0,0,0,41.0,17.11
2022-08-29,STR001,4,11,0.99,0,0,0,27.3,24.73
2022-08-30,STR001,10,15,1.41,0,0,0,53.5,20.37
2022-08-31,STR001,6,15,0.6,0,0,0,41.8,16.96
2022-09-01,STR001,7,16,1.23,0,0,0,42.1,18.82
2022-09-02,STR001,6,11,0.23,0,0,0,34.9,19.57
2022-09-03,STR001,5,23,0.63,0,0,0,27.5,14.12
2022-09-04,STR001,7,15,0.48,0,0,0,43.7,15.48
2022-09-05,STR001,5,16,0.7,0,0,0,39.9,24.38
2022-09-06,STR001,4,11,1.16,0,0,0,24.0,13.63
2022-09-07,STR001,4,24,1.35,0,0,0,22.5,14.64
2022-09-08,STR001,8,21,0.99,0,0,0,58.0,14.49
2022-09-09,STR001,3,17,0.14,0,0,0,17.6,16.66
2022-09-10,STR001,4,16,1.45,0,0,0,23.0,16.2
2022-09-11,STR001,13,18,0.25,0,0,0,79.0,17.84
2022-09-12,STR001,7,24,0.71,0,0,1,43.6,22.83
2022-09-13,STR001,2,22,0.49,0,0,0,12.5,16.92
2022-09-14,STR001,3,12,1.14,0,0,0,15.4,19.11
2022-09-15,STR001,8,14,1.06,0,0,0,42.6,18.54
2022-09-16,STR001,5,13,0.53,0,0,0,33.5,17.66
2022-09-17,STR001,7,13,0.33,0,0,0,40.2,14.94
2022-09-18,STR001,5,21,0.69,0,0,0,34.5,20.22
2022-09-19,STR001,6,22,0.81,0,0,0,31.8,18.37
2022-09-20,STR001,4,14,0.13,0,0,0,20.6,17.53
2022-09-21,STR001,8,19,0.14,0,0,0,45.1,14.13
2022-09-22,STR001,8,19,0.8,0,0,0,44.1,16.54
2022-09-23,STR001,4,17,0.63,0,0,0,26.1,18.83
2022-09-24,STR001,3,9,0.1,0,0,0,6.7,14.87
2022-09-25,STR001,6,11,1.25,0,0,1,37.6,11.53
2022-09-26,STR001,9,27,0.42,0,0,0,48.1,18.23
2022-09-27,STR001,8,22,0.93,0,0,0,54.2,16.74
2022-09-28,STR001,5,14,0.39,0,0,0,32.3,23.79
2022-09-29,STR001,6,18,0.45,0,0,0,51.1,18.77
2022-09-30,STR001,3,16,0.14,0,0,0,24.6,17.64
2022-10-01,STR001,8,21,0.26,0,0,0,47.8,15.48
2022-10-02,STR001,4,20,0.18,0,0,0,23.8,19.58
2022-10-03,STR001,6,12,0.84,0,0,0,34.9,21.66
2022-10-04,STR001,5,16,1.23,0,0,0,35.0,15.71
2022-10-05,STR001,5,10,0.93,0,0,0,36.7,16.28
2022-10-06,STR001,9,27,0.77,0,0,0,58.6,23.25
2022-10-07,STR001,4,18,0.35,0,0,0,27.1,21.36
2022-10-08,STR001,3,13,1.21,0,0,0,12.0,20.73
2022-10-09,STR001,5,16,0.76,0,0,0,38.2,17.34
2022-10-10,STR001,5,25,1.25,0,0,0,22.2,16.92
2022-10-11,STR001,3,13,0.56,0,0,0,27.4,15.68
2022-10-12,STR001,5,15,0.66,0,0,0,23.7,19.79
2022-10-13,STR001,7,17,0.74,0,0,0,49.6,17.13
2022-10-14,STR001,2,7,0.61,0,0,0,18.3,20.2
2022-10-15,STR001,6,15,0.56,0,0,0,34.5,15.01
2022-10-16,STR001,6,18,0.5,0,0,0,36.2,12.3
2022-10-17,STR001,6,22,0.53,0,0,0,41.4,15.16
2022-10-18,STR001,7,25,0.14,0,0,0,43.6,17.24
2022-10-19,STR001,4,19,0.88,0,0,0,28.4,17.97
2022-10-20,STR001,5,11,0.21,0,0,0,32.5,16.57
2022-10-21,STR001,4,14,1.28,0,0,0,33.3,14.13
2022-10-22,STR001,6,12,1.38,0,0,0,33.0,18.06
2022-10-23,STR001,7,12,0.93,0,0,0,43.7,16.67
2022-10-24,STR001,11,27,0.33,0,0,0,71.2,19.5
2022-10-25,STR001,5,19,0.22,0,0,0,31.3,15.57
2022-10-26,STR001,4,22,1.17,0,0,0,24.5,19.12
2022-10-27,STR001,9,23,0.7,0,0,0,48.7,15.63
2022-10-28,STR001,6,19,1.0,0,0,0,28.1,18.43
2022-10-29,STR001,6,21,0.56,0,0,0,24.5,19.11
2022-10-30,STR001,5,21,0.91,0,0,0,33.5,19.75
2022-10-31,STR001,7,16,0.12,0,0,0,45.4,20.67
2022-11-01,STR001,3,15,1.45,0,0,0,16.5,17.07
2022-11-02,STR001,3,22,0.39,0,0,0,20.9,17.59
2022-11-03,STR001,4,22,1.14,0,0,0,28.9,13.58
2022-11-04,STR001,1,16,0.62,0,0,0,0.9,10.74
2022-11-05,STR001,7,24,1.23,0,0,0,44.3,14.02
2022-11-06,STR001,5,22,1.03,0,0,0,44.2,15.24
2022-11-07,STR001,6,13,0.83,0,0,0,31.0,13.62
2022-11-08,STR001,6,24,0.19,0,0,0,28.4,16.59
2022-11-09,STR001,9,24,1.08,0,0,0,52.3,13.9
2022-11-10,STR001,6,20,0.5,0,0,0,36.3,17.03
2022-11-11,STR001,9,20,0.71,0,0,1,54.5,16.88
2022-11-12,STR001,9,21,0.98,0,0,1,50.5,14.62
2022-11-13,STR001,5,12,0.22,0,0,0,30.3,19.11
2022-11-14,STR001,6,12,0.62,0,0,0,35.9,18.67
2022-11-15,STR001,3,13,0.91,0,0,0,26.0,14.77
2022-11-16,STR001,8,26,0.87,0,0,0,46.0,20.13
2022-11-17,STR001,10,30,1.38,0,0,1,69.6,12.52
2022-11-18,STR001,6,19,0.98,0,0,0,39.9,12.57
2022-11-19,STR001,5,11,1.14,0,0,0,32.7,14.51
2022-11-20,STR001,8,14,0.66,0,0,0,49.5,17.03
2022-11-21,STR001,9,26,1.18,0,0,0,56.6,14.49
2022-11-22,STR001,6,19,1.39,0,0,0,40.2,15.31
2022-11-23,STR001,9,25,1.37,0,0,0,61.0,12.25
2022-11-24,STR001,6,16,1.47,0,0,0,35.8,18.77
2022-11-25,STR001,13,33,0.82,0,0,0,77.5,14.87
2022-11-26,STR001,5,14,0.58,0,0,0,27.1,17.09
2022-11-27,STR001,9,14,0.89,0,0,0,56.2,16.65
2022-11-28,STR001,7,21,1.01,0,0,0,32.9,14.33
2022-11-29,STR001,5,16,0.22,0,0,0,31.2,17.5
2022-11-30,STR001,8,25,0.97,0,0,0,52.1,20.51
2022-12-01,STR001,2,19,0.6,0,0,0,11.6,19.37
2022-12-02,STR001,5,10,1.28,0,0,0,25.9,17.02
2022-12-03,STR001,5,20,1.1,0,0,0,33.9,14.19
2022-12-04,STR001,10,19,0.51,0,0,0,63.2,17.24
2022-12-05,STR001,5,12,0.86,0,0,0,35.3,19.37
2022-12-06,STR001,3,8,0.14,0,0,0,16.3,18.53
2022-12-07,STR001,12,21,0.14,0,0,0,70.9,12.14
2022-12-08,STR001,4,18,0.3,0,0,0,28.7,17.02
2022-12-09,STR001,5,12,0.95,0,0,0,26.7,24.88
2022-12-10,STR001,8,15,0.73,0,0,0,57.9,21.8
2022-12-11,STR001,5,24,0.27,0,0,0,34.4,21.79
2022-12-12,STR001,7,16,1.33,0,0,0,38.8,20.71
2022-12-13,STR001,3,21,0.59,0,0,0,17.1,14.6
2022-12-14,STR001,9,14,1.47,0,0,0,56.6,15.43
2022-12-15,STR001,6,20,1.01,0,0,0,34.8,17.94
2022-12-16,STR001,9,17,1.17,0,0,0,53.3,13.61
2022-12-17,STR001,3,10,0.12,0,0,0,21.5,13.37
2022-12-18,STR001,2,7,0.28,0,0,1,11.0,14.63
2022-12-19,STR001,6,12,1.2,0,0,0,37.5,13.11
2022-12-20,STR001,5,22,0.53,0,0,0,38.4,19.06
2022-12-21,STR001,6,15,1.4,0,0,0,44.0,16.19
2022-12-22,STR001,2,13,0.43,0,0,0,13.9,15.0
2022-12-23,STR001,5,17,0.33,0,0,0,32.3,22.63
2022-12-24,STR001,7,17,0.3,0,0,1,29.6,19.18
2022-12-25,STR001,9,29,1.45,0,0,0,48.9,20.74
2022-12-26,STR001,6,16,1.44,0,0,0,39.6,17.36
2022-12-27,STR001,9,29,0.51,0,0,0,44.8,18.09
2022-12-28,STR001,4,23,0.96,0,0,0,19.1,16.29
2022-12-29,STR001,7,18,0.92,0,0,0,37.2,14.77
2022-12-30,STR001,7,20,0.61,0,0,0,42.2,16.87
2022-12-31,STR001,3,8,1.0,0,0,0,15.6,15.32
2023-01-01,STR001,7,15,1.31,0,0,0,43.5,18.79
2023-01-02,STR001,7,24,0.44,0,0,0,44.1,16.05
2023-01-03,STR001,6,22,1.34,0,0,0,38.5,11.56
2023-01-04,STR001,6,18,1.03,0,0,1,32.7,18.63
2023-01-05,STR001,7,13,1.42,0,0,0,37.6,15.74
2023-01-06,STR001,4,22,0.87,0,0,0,33.5,11.67
2023-01-07,STR001,6,21,1.05,0,0,0,37.0,17.98
2023-01-08,STR001,6,23,0.56,0,0,0,33.0,18.42
2023-01-09,STR001,6,19,0.51,0,0,0,38.0,9.51
2023-01-10,STR001,4,13,0.96,0,0,0,19.7,15.3
2023-01-11,STR001,1,21,1.4,0,0,0,6.5,18.57
2023-01-12,STR001,4,12,0.8,0,0,0,23.2,17.8
2023-01-13,STR001,7,18,0.11,0,0,0,50.1,15.84
2023-01-14,STR001,6,20,0.67,0,0,0,41.6,12.68
2023-01-15,STR001,8,23,1.49,0,0,0,49.0,14.58
2023-01-16,STR001,10,27,0.55,0,0,0,57.3,17.75
2023-01-17,STR001,5,11,0.85,0,0,0,35.8,19.92
2023-01-18,STR001,8,27,0.14,0,1,0,52.8,17.98
2023-01-19,STR001,3,22,0.96,0,0,0,21.1,12.82
2023-01-20,STR001,5,21,0.33,0,0,0,21.7,18.17
2023-01-21,STR001,11,16,1.17,0,0,0,71.7,14.25
2023-01-22,STR001,8,20,0.42,0,1,0,54.2,16.69
2023-01-23,STR001,6,24,0.42,0,0,0,33.0,15.77
2023-01-24,STR001,7,18,1.23,0,0,0,45.0,15.44
2023-01-25,STR001,3,17,1.34,0,0,0,20.4,13.11
2023-01-26,STR001,6,26,0.36,0,0,0,32.4,17.13
2023-01-27,STR001,6,22,0.22,0,0,0,32.8,20.03
2023-01-28,STR001,8,20,0.67,0,0,0,50.2,17.33
2023-01-29,STR001,6,17,0.13,0,0,0,29.3,18.62
2023-01-30,STR001,7,21,0.16,0,0,0,47.1,16.0
2023-01-31,STR001,14,21,1.07,0,0,0,74.9,15.86
2023-02-01,STR001,1,18,0.59,0,0,0,5.4,14.08
2023-02-02,STR001,9,22,0.98,0,0,0,54.3,21.66
2023-02-03,STR001,4,12,0.31,0,0,0,21.6,15.33
2023-02-04,STR001,7,18,1.04,0,0,0,40.0,15.02
2023-02-05,STR001,5,20,0.15,0,0,0,27.3,20.93
2023-02-06,STR001,7,24,0.84,0,0,0,39.6,14.54
2023-02-07,STR001,7,25,0.86,0,0,0,41.2,19.74
2023-02-08,STR001,8,18,0.59,0,0,0,48.8,9.41
2023-02-09,STR001,10,18,0.43,0,0,0,57.5,18.41
2023-02-10,STR001,4,20,0.39,0,0,0,29.1,20.57
2023-02-11,STR001,9,23,0.39,0,0,0,52.5,16.38
2023-02-12,STR001,8,18,0.58,0,0,0,40.9,10.88
2023-02-13,STR001,4,19,0.9,0,0,0,16.0,16.59
2023-02-14,STR001,4,16,0.55,0,0,0,27.5,19.6
2023-02-15,STR001,11,26,1.32,0,0,0,71.2,16.82
2023-02-16,STR001,7,25,0.21,0,0,0,44.6,14.46
2023-02-17,STR001,5,25,0.92,0,0,0,35.8,19.18
2023-02-18,STR001,5,22,0.98,0,0,0,29.2,13.13
2023-02-19,STR001,11,31,1.37,0,0,0,53.8,15.1
2023-02-20,STR001,7,26,0.56,0,0,0,43.7,18.32
2023-02-21,STR001,7,12,1.41,0,0,0,42.7,16.86
2023-02-22,STR001,3,9,1.12,0,0,0,18.7,16.35
2023-02-23,STR001,9,17,0.64,0,0,0,52.3,17.07
