date,city,unemployment_rate,consumer_sentiment,foot_traffic_index,gas_price_per_gallon,cpi_food_away_home,local_population,restaurant_industry_index
2022-01-29,Los Angeles,6.09,69.5,96.1,3.74,261.47,68000,100.1
2022-01-30,Los Angeles,6.12,69.2,96.1,3.2,260.63,68000,98.8
2022-01-31,Los Angeles,6.09,69.0,96.5,3.88,261.27,68000,102.2
2022-02-01,Los Angeles,6.03,68.7,96.4,4.06,262.08,68000,100.0
2022-02-02,Los Angeles,6.0,68.7,96.0,3.47,262.28,68000,103.8
2022-02-03,Los Angeles,5.91,68.3,96.6,3.72,260.42,68000,98.8
2022-02-04,Los Angeles,5.87,68.4,96.1,3.59,260.97,68000,100.8
2022-02-05,Los Angeles,5.99,68.3,95.4,3.5,260.67,68000,99.8
2022-02-06,Los Angeles,6.02,68.1,95.3,3.17,260.27,68000,101.7
2022-02-07,Los Angeles,5.95,67.7,94.8,3.69,261.85,68000,97.9
2022-02-08,Los Angeles,6.03,67.4,94.2,3.59,258.77,68000,98.3
2022-02-09,Los Angeles,6.03,67.8,94.5,3.04,259.99,68000,99.2
2022-02-10,Los Angeles,6.0,67.6,94.5,3.37,260.85,68000,103.0
2022-02-11,Los Angeles,6.05,67.9,94.0,3.38,261.42,68000,99.1
2022-02-12,Los Angeles,6.1,67.9,94.1,3.41,260.26,68000,100.3
2022-02-13,Los Angeles,6.15,67.7,94.1,3.56,259.22,68000,98.6
2022-02-14,Los Angeles,6.23,67.5,94.0,3.82,261.95,68000,99.4
2022-02-15,Los Angeles,6.28,67.5,94.4,3.07,261.3,68000,100.6
2022-02-16,Los Angeles,6.28,68.0,94.2,3.32,260.75,68000,100.9
2022-02-17,Los Angeles,6.31,67.8,94.3,3.77,261.88,68000,99.7
2022-02-18,Los Angeles,6.31,67.4,93.8,3.32,262.17,68000,99.7
2022-02-19,Los Angeles,6.23,67.3,95.2,3.41,260.07,68000,99.8
2022-02-20,Los Angeles,6.28,67.7,95.6,3.49,261.61,68000,99.0
2022-02-21,Los Angeles,6.24,68.0,94.8,3.09,259.08,68000,97.5
2022-02-22,Los Angeles,6.27,67.9,95.3,3.57,262.67,68000,98.3
2022-02-23,Los Angeles,6.27,67.9,95.6,3.59,261.9,68000,100.9
2022-02-24,Los Angeles,6.32,68.3,95.5,3.86,261.17,68000,99.1
2022-02-25,Los Angeles,6.32,68.6,95.6,3.68,259.02,68000,101.4
2022-02-26,Los Angeles,6.31,68.5,95.7,3.63,260.61,68000,98.4
2022-02-27,Los Angeles,6.27,68.4,95.3,3.23,262.83,68000,102.9
2022-02-28,Los Angeles,6.28,68.2,95.1,4.17,258.76,68000,96.7
2022-03-01,Los Angeles,6.3,68.3,96.0,3.28,261.13,68000,101.2
2022-03-02,Los Angeles,6.31,68.1,95.2,3.22,262.01,68000,99.6
2022-03-03,Los Angeles,6.25,67.7,95.0,3.25,262.18,68000,101.9
2022-03-04,Los Angeles,6.24,67.9,94.3,3.34,260.96,68000,96.1
2022-03-05,Los Angeles,6.22,68.0,93.9,3.58,260.84,68000,104.1
2022-03-06,Los Angeles,6.21,68.3,93.7,3.76,262.79,68000,101.5
2022-03-07,Los Angeles,6.26,68.2,94.4,3.32,260.47,68000,100.8
2022-03-08,Los Angeles,6.31,68.3,94.4,3.6,258.97,68000,98.4
2022-03-09,Los Angeles,6.31,68.7,95.0,3.9,260.42,68000,100.9
2022-03-10,Los Angeles,6.22,69.1,94.6,3.69,261.49,68000,99.0
2022-03-11,Los Angeles,6.21,68.9,94.7,3.17,260.81,68000,99.2
2022-03-12,Los Angeles,6.19,69.1,95.0,3.63,262.23,68000,101.5
2022-03-13,Los Angeles,6.2,68.9,95.6,3.67,261.17,68000,99.6
2022-03-14,Los Angeles,6.14,69.0,94.9,3.5,261.31,68000,101.3
2022-03-15,Los Angeles,6.09,69.2,94.4,3.11,261.47,68000,99.5
2022-03-16,Los Angeles,6.11,69.0,94.2,3.35,260.27,68000,101.4
2022-03-17,Los Angeles,6.1,69.0,93.4,3.57,260.17,68000,101.5
2022-03-18,Los Angeles,6.05,68.9,94.3,3.3,260.15,68000,98.2
2022-03-19,Los Angeles,6.09,69.2,94.3,3.11,261.83,68000,100.1
2022-03-20,Los Angeles,6.06,69.3,94.4,3.1,260.23,68000,98.5
2022-03-21,Los Angeles,6.16,69.3,94.0,3.5,261.0,68000,102.1
2022-03-22,Los Angeles,6.15,69.1,94.6,3.07,261.62,68000,100.6
2022-03-23,Los Angeles,6.11,69.3,94.7,3.35,260.78,68000,102.8
2022-03-24,Los Angeles,6.24,68.8,94.7,3.33,260.29,68000,100.4
2022-03-25,Los Angeles,6.32,68.7,94.3,3.28,262.3,68000,99.5
2022-03-26,Los Angeles,6.34,68.7,94.8,3.54,260.11,68000,97.4
2022-03-27,Los Angeles,6.27,68.7,95.6,3.63,261.54,68000,99.5
2022-03-28,Los Angeles,6.29,68.6,95.5,3.62,260.95,68000,97.1
2022-03-29,Los Angeles,6.25,68.8,94.9,3.49,261.14,68000,101.9
2022-03-30,Los Angeles,6.21,69.2,94.9,3.6,261.49,68000,101.6
2022-03-31,Los Angeles,6.21,69.7,94.8,3.49,260.98,68000,98.7
2022-04-01,Los Angeles,6.22,69.3,94.7,3.37,263.21,68000,98.1
2022-04-02,Los Angeles,6.31,69.2,94.7,3.69,261.68,68000,98.4
2022-04-03,Los Angeles,6.31,69.7,95.0,3.4,262.75,68000,100.3
2022-04-04,Los Angeles,6.2,69.7,94.9,3.16,262.05,68000,99.9
2022-04-05,Los Angeles,6.2,69.9,95.3,3.5,261.45,68000,101.6
2022-04-06,Los Angeles,6.21,70.4,95.6,4.01,263.33,68000,100.1
2022-04-07,Los Angeles,6.15,70.4,95.6,2.98,260.79,68000,97.7
2022-04-08,Los Angeles,6.12,70.0,95.5,3.21,262.93,68000,100.7
2022-04-09,Los Angeles,6.07,69.6,95.9,3.86,261.1,68000,100.5
2022-04-10,Los Angeles,6.12,69.7,96.3,4.0,262.05,68000,97.7
2022-04-11,Los Angeles,6.11,69.4,96.3,3.59,260.8,68000,100.6
2022-04-12,Los Angeles,6.02,69.5,96.3,3.79,260.86,68000,100.2
2022-04-13,Los Angeles,6.02,69.1,96.7,3.47,262.42,68000,99.8
2022-04-14,Los Angeles,5.99,68.9,96.7,2.99,262.74,68000,100.9
2022-04-15,Los Angeles,5.94,68.8,97.5,3.42,261.54,68000,101.2
2022-04-16,Los Angeles,6.0,69.0,97.2,3.12,261.62,68000,101.1
2022-04-17,Los Angeles,6.01,68.9,97.6,3.54,261.58,68000,103.8
2022-04-18,Los Angeles,6.07,68.8,98.1,3.83,262.22,68000,98.2
2022-04-19,Los Angeles,6.12,69.2,98.9,3.08,262.61,68000,104.5
2022-04-20,Los Angeles,6.19,69.8,98.6,4.01,260.61,68000,98.2
2022-04-21,Los Angeles,6.15,69.9,98.8,3.69,263.45,68000,98.8
2022-04-22,Los Angeles,6.1,69.8,99.0,3.17,261.97,68000,101.9
2022-04-23,Los Angeles,6.12,69.8,99.0,3.62,260.19,68000,104.2
2022-04-24,Los Angeles,6.12,70.1,99.3,3.61,260.55,68000,96.8
2022-04-25,Los Angeles,6.09,70.4,98.3,3.44,262.12,68000,99.4
2022-04-26,Los Angeles,6.08,69.6,97.8,3.81,263.04,68000,100.5
2022-04-27,Los Angeles,6.13,69.8,97.6,3.46,260.02,68000,100.5
2022-04-28,Los Angeles,6.04,70.1,97.4,3.57,261.53,68000,102.2
2022-04-29,Los Angeles,6.01,70.2,97.6,3.45,260.91,68000,97.7
2022-04-30,Los Angeles,5.98,70.1,98.4,3.45,261.62,68000,98.3
2022-05-01,Los Angeles,6.03,69.7,98.2,3.64,261.53,68000,101.3
2022-05-02,Los Angeles,6.11,70.3,97.7,3.88,261.09,68000,100.6
2022-05-03,Los Angeles,6.24,70.4,98.0,3.3,261.95,68000,96.0
2022-05-04,Los Angeles,6.19,70.6,98.8,3.2,259.74,68000,98.3
2022-05-05,Los Angeles,6.26,70.7,98.6,3.62,261.76,68000,99.2
2022-05-06,Los Angeles,6.31,70.2,97.7,3.79,261.18,68000,99.3
2022-05-07,Los Angeles,6.3,71.1,97.5,3.47,262.6,68000,98.9
2022-05-08,Los Angeles,6.37,70.8,98.0,3.37,261.93,68000,101.5
2022-05-09,Los Angeles,6.34,70.8,97.6,3.45,263.35,68000,98.4
2022-05-10,Los Angeles,6.27,70.8,97.8,2.64,262.91,68000,98.8
2022-05-11,Los Angeles,6.29,71.4,98.0,3.47,261.75,68000,99.2
2022-05-12,Los Angeles,6.28,71.6,97.9,3.6,261.11,68000,99.3
2022-05-13,Los Angeles,6.31,72.0,98.0,3.36,263.91,68000,99.3
2022-05-14,Los Angeles,6.31,71.3,97.7,3.61,262.71,68000,102.0
2022-05-15,Los Angeles,6.36,71.2,97.4,3.12,260.33,68000,99.6
2022-05-16,Los Angeles,6.35,71.1,97.5,2.96,262.81,68000,99.6
2022-05-17,Los Angeles,6.37,70.6,97.5,3.56,261.65,68000,99.4
2022-05-18,Los Angeles,6.32,70.8,97.9,3.22,263.43,68000,101.1
2022-05-19,Los Angeles,6.25,70.5,97.9,3.41,260.71,68000,100.6
2022-05-20,Los Angeles,6.22,70.6,97.7,3.49,261.67,68000,98.4
2022-05-21,Los Angeles,6.28,70.3,98.0,3.02,261.07,68000,101.0
2022-05-22,Los Angeles,6.22,70.3,98.2,3.59,262.88,68000,104.1
2022-05-23,Los Angeles,6.22,70.2,97.8,3.24,262.2,68000,96.9
2022-05-24,Los Angeles,6.22,70.0,97.3,3.72,261.91,68000,101.3
2022-05-25,Los Angeles,6.25,70.5,97.7,4.06,263.25,68000,101.5
2022-05-26,Los Angeles,6.23,70.3,98.2,3.56,263.25,68000,100.2
2022-05-27,Los Angeles,6.16,69.9,97.9,2.91,263.91,68000,100.8
2022-05-28,Los Angeles,6.17,69.7,98.4,3.94,261.37,68000,101.1
2022-05-29,Los Angeles,6.15,69.5,98.6,3.13,263.98,68000,100.6
2022-05-30,Los Angeles,6.21,69.6,98.6,3.24,261.89,68000,97.2
2022-05-31,Los Angeles,6.2,69.7,98.1,3.4,261.45,68000,97.5
2022-06-01,Los Angeles,6.26,69.5,98.0,3.1,262.93,68000,97.1
2022-06-02,Los Angeles,6.28,69.1,97.4,3.73,262.84,68000,101.8
2022-06-03,Los Angeles,6.3,69.2,98.1,3.4,262.85,68000,96.5
2022-06-04,Los Angeles,6.3,69.3,97.3,3.41,260.98,68000,97.6
2022-06-05,Los Angeles,6.25,69.5,98.1,3.37,261.51,68000,101.1
2022-06-06,Los Angeles,6.22,70.2,98.2,3.31,262.75,68000,100.4
2022-06-07,Los Angeles,6.18,69.6,98.0,3.44,262.74,68000,100.3
2022-06-08,Los Angeles,6.21,69.8,97.2,3.38,263.48,68000,98.7
2022-06-09,Los Angeles,6.21,69.9,97.1,3.25,262.41,68000,99.7
2022-06-10,Los Angeles,6.21,70.3,96.8,3.96,260.98,68000,100.0
2022-06-11,Los Angeles,6.19,70.8,97.1,3.53,261.85,68000,98.6
2022-06-12,Los Angeles,6.2,70.8,96.9,3.34,263.47,68000,99.7
2022-06-13,Los Angeles,6.21,70.8,98.2,3.65,262.63,68000,98.3
2022-06-14,Los Angeles,6.29,70.7,98.0,3.33,264.11,68000,99.1
2022-06-15,Los Angeles,6.23,70.3,97.8,3.66,263.12,68000,104.7
2022-06-16,Los Angeles,6.28,70.2,97.9,3.41,261.25,68000,100.4
2022-06-17,Los Angeles,6.26,70.3,98.2,3.78,262.15,68000,100.5
2022-06-18,Los Angeles,6.28,70.3,98.5,3.37,261.74,68000,103.3
2022-06-19,Los Angeles,6.31,69.9,98.6,3.2,261.91,68000,101.1
2022-06-20,Los Angeles,6.34,70.1,98.3,3.81,261.62,68000,101.5
2022-06-21,Los Angeles,6.36,70.5,97.9,3.35,261.97,68000,100.5
2022-06-22,Los Angeles,6.34,70.7,97.6,3.92,262.45,68000,101.9
2022-06-23,Los Angeles,6.34,70.7,97.3,3.9,263.06,68000,98.6
2022-06-24,Los Angeles,6.36,70.6,97.0,3.32,261.86,68000,100.5
2022-06-25,Los Angeles,6.39,70.3,97.2,3.29,263.22,68000,101.5
2022-06-26,Los Angeles,6.4,70.6,96.9,3.33,263.5,68000,100.5
2022-06-27,Los Angeles,6.3,70.5,97.2,3.72,263.67,68000,99.3
2022-06-28,Los Angeles,6.29,70.5,97.6,3.21,263.84,68000,96.5
2022-06-29,Los Angeles,6.33,70.5,97.2,3.32,262.09,68000,99.9
2022-06-30,Los Angeles,6.38,70.1,97.7,4.01,263.27,68000,100.1
2022-07-01,Los Angeles,6.33,69.8,96.8,3.47,262.56,68000,98.0
2022-07-02,Los Angeles,6.33,70.0,96.1,3.76,263.51,68000,95.6
2022-07-03,Los Angeles,6.33,69.9,96.2,3.78,262.3,68000,98.1
2022-07-04,Los Angeles,6.31,70.4,95.6,3.29,262.31,68000,97.9
2022-07-05,Los Angeles,6.27,70.7,96.0,3.5,264.96,68000,98.0
2022-07-06,Los Angeles,6.29,71.0,96.1,3.16,264.4,68000,95.8
2022-07-07,Los Angeles,6.15,70.6,96.2,3.31,266.22,68000,97.4
2022-07-08,Los Angeles,6.11,70.9,95.6,3.38,262.68,68000,101.2
2022-07-09,Los Angeles,6.13,70.9,95.4,3.89,261.75,68000,102.7
2022-07-10,Los Angeles,6.06,71.2,95.2,3.3,263.58,68000,101.4
2022-07-11,Los Angeles,6.13,71.8,95.5,3.31,262.09,68000,98.5
2022-07-12,Los Angeles,6.16,72.0,95.5,3.31,263.89,68000,101.1
2022-07-13,Los Angeles,6.17,72.0,95.6,3.98,262.55,68000,100.0
2022-07-14,Los Angeles,6.21,71.5,95.9,3.7,263.65,68000,97.4
2022-07-15,Los Angeles,6.13,71.4,95.9,3.44,264.49,68000,103.8
2022-07-16,Los Angeles,6.09,71.0,95.8,3.95,262.79,68000,100.7
2022-07-17,Los Angeles,6.07,70.9,95.4,3.44,264.17,68000,99.5
2022-07-18,Los Angeles,6.04,71.1,95.2,3.69,263.67,68000,100.7
2022-07-19,Los Angeles,6.04,70.4,95.5,3.42,261.26,68000,102.3
2022-07-20,Los Angeles,6.03,70.5,95.5,3.27,262.67,68000,102.5
2022-07-21,Los Angeles,6.05,70.9,95.5,3.72,263.49,68000,100.1
2022-07-22,Los Angeles,6.15,71.0,94.7,3.4,263.6,68000,100.7
2022-07-23,Los Angeles,6.18,70.9,95.1,3.24,262.99,68000,101.6
2022-07-24,Los Angeles,6.17,70.4,94.6,3.59,264.11,68000,98.1
2022-07-25,Los Angeles,6.17,71.1,94.9,3.35,262.31,68000,97.6
2022-07-26,Los Angeles,6.14,71.3,94.6,2.92,261.88,68000,100.6
2022-07-27,Los Angeles,6.08,71.4,94.7,3.06,263.13,68000,98.3
2022-07-28,Los Angeles,6.0,71.3,94.6,3.44,264.04,68000,99.6
2022-07-29,Los Angeles,6.03,71.2,94.2,3.09,264.15,68000,100.5
2022-07-30,Los Angeles,6.09,71.6,94.2,3.48,263.2,68000,98.7
2022-07-31,Los Angeles,6.09,71.9,94.2,3.16,263.09,68000,96.6
2022-08-01,Los Angeles,6.05,71.9,93.9,3.53,262.77,68000,101.6
2022-08-02,Los Angeles,6.04,71.6,94.3,3.41,264.98,68000,101.3
2022-08-03,Los Angeles,6.06,71.0,94.4,3.71,264.04,68000,99.1
2022-08-04,Los Angeles,6.06,70.4,94.4,2.87,262.89,68000,99.2
2022-08-05,Los Angeles,6.02,69.9,94.2,3.13,261.62,68000,102.6
2022-08-06,Los Angeles,6.01,70.0,94.5,3.42,264.23,68000,101.9
2022-08-07,Los Angeles,6.06,70.2,95.1,3.21,264.0,68000,98.8
2022-08-08,Los Angeles,6.13,70.4,94.9,3.64,261.24,68000,102.3
2022-08-09,Los Angeles,6.18,70.0,95.6,3.45,265.39,68000,102.5
2022-08-10,Los Angeles,6.2,70.1,95.5,3.71,265.08,68000,101.0
2022-08-11,Los Angeles,6.14,70.3,95.7,3.85,262.37,68000,101.1
2022-08-12,Los Angeles,6.14,70.4,95.9,3.29,264.28,68000,99.6
2022-08-13,Los Angeles,6.27,70.3,95.7,3.29,264.27,68000,99.1
2022-08-14,Los Angeles,6.33,70.5,94.7,3.63,264.13,68000,99.3
2022-08-15,Los Angeles,6.33,70.3,94.6,3.29,263.94,68000,99.2
2022-08-16,Los Angeles,6.37,70.3,94.7,3.56,263.72,68000,105.0
2022-08-17,Los Angeles,6.32,69.8,94.4,3.75,263.63,68000,101.4
2022-08-18,Los Angeles,6.39,69.7,94.3,3.8,264.52,68000,96.4
2022-08-19,Los Angeles,6.38,69.7,94.0,3.77,262.71,68000,98.5
2022-08-20,Los Angeles,6.44,70.0,93.8,3.52,265.02,68000,100.7
2022-08-21,Los Angeles,6.46,69.2,94.0,3.6,263.29,68000,104.2
2022-08-22,Los Angeles,6.51,69.1,94.4,3.35,262.79,68000,98.8
2022-08-23,Los Angeles,6.53,68.8,95.1,3.75,263.23,68000,101.6
2022-08-24,Los Angeles,6.46,68.7,95.1,3.81,261.85,68000,101.8
2022-08-25,Los Angeles,6.47,69.1,96.8,3.7,264.03,68000,100.8
2022-08-26,Los Angeles,6.5,69.3,96.4,3.86,262.26,68000,99.5
2022-08-27,Los Angeles,6.49,69.6,96.0,3.48,263.64,68000,98.6
2022-08-28,Los Angeles,6.48,69.2,95.5,2.67,263.52,68000,99.2
2022-08-29,Los Angeles,6.55,69.7,95.8,3.45,262.65,68000,102.4
2022-08-30,Los Angeles,6.57,69.8,95.6,3.12,264.36,68000,99.1
2022-08-31,Los Angeles,6.59,69.7,95.1,3.4,263.31,68000,98.7
2022-09-01,Los Angeles,6.59,69.9,95.5,3.36,263.33,68000,101.5
2022-09-02,Los Angeles,6.64,70.0,95.2,3.28,265.2,68000,100.5
2022-09-03,Los Angeles,6.61,70.0,94.9,3.24,263.16,68000,102.5
2022-09-04,Los Angeles,6.64,70.0,95.1,3.48,264.57,68000,97.4
2022-09-05,Los Angeles,6.66,70.4,94.3,3.16,263.11,68000,99.3
2022-09-06,Los Angeles,6.65,70.4,94.2,3.65,264.98,68000,102.5
2022-09-07,Los Angeles,6.63,70.6,94.3,3.59,264.05,68000,98.1
2022-09-08,Los Angeles,6.69,70.5,94.3,3.48,264.09,68000,101.0
2022-09-09,Los Angeles,6.79,70.8,94.6,3.83,264.39,68000,97.1
2022-09-10,Los Angeles,6.77,70.2,94.6,3.91,263.55,68000,99.7
2022-09-11,Los Angeles,6.68,70.4,94.9,3.93,265.29,68000,103.4
2022-09-12,Los Angeles,6.62,70.6,94.4,3.86,264.82,68000,100.5
2022-09-13,Los Angeles,6.58,70.4,93.9,3.78,263.15,68000,100.2
2022-09-14,Los Angeles,6.59,70.3,93.9,3.74,264.35,68000,101.8
2022-09-15,Los Angeles,6.57,70.1,94.2,3.49,265.67,68000,99.0
2022-09-16,Los Angeles,6.6,70.2,94.5,3.32,265.08,68000,96.2
2022-09-17,Los Angeles,6.71,69.8,93.9,3.87,263.53,68000,104.0
2022-09-18,Los Angeles,6.76,70.3,93.1,3.53,264.74,68000,97.8
2022-09-19,Los Angeles,6.68,70.0,93.2,3.36,265.6,68000,98.5
2022-09-20,Los Angeles,6.71,70.0,93.1,3.68,264.72,68000,102.5
2022-09-21,Los Angeles,6.68,70.2,93.2,3.9,262.59,68000,105.1
2022-09-22,Los Angeles,6.6,69.9,92.8,3.86,265.03,68000,102.6
2022-09-23,Los Angeles,6.62,70.1,92.0,3.26,263.85,68000,101.2
2022-09-24,Los Angeles,6.68,69.5,91.6,2.97,264.5,68000,103.4
2022-09-25,Los Angeles,6.58,69.5,91.2,3.46,262.4,68000,101.9
2022-09-26,Los Angeles,6.6,69.5,91.3,3.4,264.44,68000,101.0
2022-09-27,Los Angeles,6.62,68.9,91.3,3.23,263.19,68000,97.7
2022-09-28,Los Angeles,6.63,68.9,91.4,3.68,261.95,68000,103.5
2022-09-29,Los Angeles,6.56,68.8,91.9,3.13,264.12,68000,99.3
2022-09-30,Los Angeles,6.49,68.1,91.9,3.73,261.84,68000,99.8
2022-10-01,Los Angeles,6.5,68.0,92.1,3.88,266.34,68000,100.9
2022-10-02,Los Angeles,6.53,68.2,92.3,2.99,264.71,68000,98.6
2022-10-03,Los Angeles,6.52,68.1,92.1,4.04,265.51,68000,102.0
2022-10-04,Los Angeles,6.52,68.2,92.5,3.47,264.61,68000,97.6
2022-10-05,Los Angeles,6.42,68.2,91.9,3.62,263.35,68000,101.5
2022-10-06,Los Angeles,6.46,68.1,92.3,2.97,265.27,68000,95.5
2022-10-07,Los Angeles,6.44,68.3,92.7,3.38,264.15,68000,101.3
2022-10-08,Los Angeles,6.45,68.2,92.0,2.99,264.82,68000,99.2
2022-10-09,Los Angeles,6.42,68.4,92.7,3.42,264.05,68000,99.9
2022-10-10,Los Angeles,6.42,68.4,92.2,3.08,264.62,68000,98.4
2022-10-11,Los Angeles,6.42,68.5,92.7,2.86,263.05,68000,101.2
2022-10-12,Los Angeles,6.46,68.4,93.0,3.07,263.3,68000,100.4
2022-10-13,Los Angeles,6.41,68.5,93.1,3.64,264.49,68000,100.1
2022-10-14,Los Angeles,6.49,68.5,93.4,3.59,263.85,68000,98.8
2022-10-15,Los Angeles,6.4,68.7,93.1,3.43,263.99,68000,102.3
2022-10-16,Los Angeles,6.38,68.7,93.4,3.44,263.45,68000,101.8
2022-10-17,Los Angeles,6.45,68.7,92.5,3.48,265.29,68000,100.8
2022-10-18,Los Angeles,6.55,69.3,92.8,4.29,264.75,68000,98.0
2022-10-19,Los Angeles,6.55,69.3,92.8,3.24,263.36,68000,93.8
2022-10-20,Los Angeles,6.58,69.7,93.0,3.55,263.93,68000,104.0
2022-10-21,Los Angeles,6.53,69.8,93.4,3.36,264.57,68000,100.7
2022-10-22,Los Angeles,6.57,70.0,93.5,3.91,265.22,68000,98.7
2022-10-23,Los Angeles,6.65,70.3,93.3,3.21,264.6,68000,102.6
2022-10-24,Los Angeles,6.61,70.4,92.9,3.6,265.07,68000,99.4
2022-10-25,Los Angeles,6.66,70.6,92.5,3.68,265.0,68000,100.3
2022-10-26,Los Angeles,6.65,70.8,91.7,3.52,265.76,68000,100.4
2022-10-27,Los Angeles,6.71,70.3,91.5,3.78,264.63,68000,99.4
2022-10-28,Los Angeles,6.73,70.5,91.4,3.33,264.95,68000,98.4
2022-10-29,Los Angeles,6.83,70.6,91.1,3.5,262.27,68000,102.3
2022-10-30,Los Angeles,6.95,70.3,91.6,3.88,266.1,68000,103.5
2022-10-31,Los Angeles,7.0,70.1,91.6,3.69,264.51,68000,100.1
2022-11-01,Los Angeles,6.91,70.5,91.0,3.45,265.23,68000,96.9
2022-11-02,Los Angeles,6.85,70.8,90.7,3.68,265.07,68000,102.8
2022-11-03,Los Angeles,6.8,70.8,90.4,3.95,263.65,68000,101.6
2022-11-04,Los Angeles,6.89,70.6,90.4,3.23,265.46,68000,97.5
2022-11-05,Los Angeles,6.9,71.0,90.8,3.24,265.65,68000,96.0
2022-11-06,Los Angeles,6.94,70.9,90.9,3.9,264.3,68000,104.0
2022-11-07,Los Angeles,6.86,71.2,90.8,3.35,265.95,68000,98.9
2022-11-08,Los Angeles,6.81,71.1,90.5,2.77,264.84,68000,101.7
2022-11-09,Los Angeles,6.86,71.2,90.6,3.03,266.49,68000,100.4
2022-11-10,Los Angeles,6.87,70.8,91.1,4.23,264.67,68000,100.5
2022-11-11,Los Angeles,6.81,70.6,91.4,3.13,264.31,68000,98.4
2022-11-12,Los Angeles,6.81,71.4,91.1,3.42,263.64,68000,100.6
2022-11-13,Los Angeles,6.82,71.5,91.5,3.27,263.98,68000,98.7
2022-11-14,Los Angeles,6.8,71.6,92.2,3.69,266.3,68000,97.5
2022-11-15,Los Angeles,6.79,71.2,92.2,3.94,264.72,68000,102.9
2022-11-16,Los Angeles,6.85,71.0,92.1,3.86,263.78,68000,100.8
2022-11-17,Los Angeles,6.97,71.2,91.8,3.66,265.23,68000,100.6
2022-11-18,Los Angeles,6.94,70.7,92.7,3.45,264.4,68000,99.5
2022-11-19,Los Angeles,6.86,70.5,92.6,3.24,264.47,68000,100.9
2022-11-20,Los Angeles,6.77,70.7,93.3,4.17,262.99,68000,100.0
2022-11-21,Los Angeles,6.76,70.5,93.4,3.67,264.56,68000,100.4
2022-11-22,Los Angeles,6.69,70.0,93.3,2.99,265.88,68000,101.2
2022-11-23,Los Angeles,6.7,69.7,92.5,3.85,264.75,68000,99.4
2022-11-24,Los Angeles,6.73,69.9,92.4,3.98,264.82,68000,98.5
2022-11-25,Los Angeles,6.77,69.8,92.0,3.53,265.71,68000,100.2
2022-11-26,Los Angeles,6.75,69.6,91.5,3.31,262.89,68000,101.8
2022-11-27,Los Angeles,6.7,69.8,91.1,3.43,264.92,68000,97.1
2022-11-28,Los Angeles,6.59,69.6,91.6,3.58,264.38,68000,102.2
2022-11-29,Los Angeles,6.58,69.7,92.2,3.27,263.35,68000,98.4
2022-11-30,Los Angeles,6.68,69.6,91.6,3.06,265.08,68000,99.6
2022-12-01,Los Angeles,6.8,69.2,92.1,3.75,266.18,68000,102.2
2022-12-02,Los Angeles,6.81,69.2,92.3,3.41,265.2,68000,100.5
2022-12-03,Los Angeles,6.84,69.0,91.8,3.59,265.81,68000,101.7
2022-12-04,Los Angeles,6.87,68.9,92.5,3.78,265.72,68000,101.0
